,first,O,album,artist,best_rating,city,condition_description,condition_temperature,country,cuisine,current_location,facility,genre,geographic_poi,location_name,movie_name,movie_type,music_item,object_location_type,object_name,object_part_of_series_type,object_select,object_type,party_size_description,party_size_number,playlist,poi,rating_unit,rating_value,restaurant_name,restaurant_type,served_dish,service,sort,spatial_relation,state,timeRange,track,year
0,O,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,album,0.17,0.1,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.11,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0
2,artist,0.03,0.0,0.21,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.09,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
3,best_rating,0.0,0.0,0.0,0.57,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.01,0.0
4,city,0.03,0.01,0.11,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.1,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
5,condition_description,0.02,0.02,0.02,0.0,0.03,0.41,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.09,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0
6,condition_temperature,0.01,0.01,0.01,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
7,country,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
8,cuisine,0.01,0.01,0.03,0.0,0.04,0.0,0.0,0.04,0.4,0.0,0.0,0.02,0.0,0.01,0.08,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
9,current_location,0.14,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0
