,first,O,album,artist,best_rating,city,condition_description,condition_temperature,country,cuisine,current_location,entity_name,facility,genre,geographic_poi,location_name,movie_name,movie_type,music_item,object_location_type,object_name,object_part_of_series_type,object_select,object_type,party_size_description,party_size_number,playlist,playlist_owner,poi,rating_unit,rating_value,restaurant_name,restaurant_type,served_dish,service,sort,spatial_relation,state,timeRange,track,year
0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,album,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
2,artist,0.11,0.07,0.37,0.04,0,0,0.03,0.04,0,0.04,0,0.03,0.07,0.03,0.04,0,0.04,0.05,0.04,0.09,0,0,0.05,0,0,0.08,0,0,0,0.05,0,0.03,0,0.06,0.06,0.04,0.03,0.04,0.12,0.05
3,best_rating,0.26,0,0,0.07,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0.03,0.47,0.04,0,0.03,0,0,0,0,0,0.04,0.08,0,0,0,0.03,0,0.03,0,0,0,0
4,city,0.08,0,0,0,0.89,0.05,0.06,0.08,0.03,0.08,0,0.05,0,0.09,0.06,0.05,0.05,0,0.05,0,0,0,0.08,0.05,0,0,0,0,0,0,0,0.04,0,0.04,0.03,0.07,0.13,0.12,0,0.06
5,condition_description,0.08,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0
6,condition_temperature,0.11,0,0,0,0.05,0.04,0,0,0.03,0,0,0,0,0.04,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0
7,country,0.03,0,0,0,0.28,0.03,0.03,0.04,0,0.04,0,0.03,0,0.05,0.03,0.03,0.03,0,0.03,0,0,0,0.04,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0.07,0.06,0,0
8,cuisine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,current_location,0.03,0,0,0,0.1,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0
10,entity_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,genre,0,0,0.04,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,geographic_poi,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0
14,location_name,0.1,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0.03,0.1,0.19,0.03,0,0.03,0.1,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0.03,0.07,0,0.03
15,movie_name,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.78,0.03,0,0.03,0.04,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0
16,movie_type,0.07,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0,0.04,0.49,0.04,0,0.03,0,0,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0.03,0,0.04,0,0.03
17,music_item,0.03,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
18,object_location_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,object_name,0.1,0,0,0.11,0,0,0.04,0,0,0.05,0,0.04,0,0.04,0.09,0.12,0.07,0,0.06,3.37,0.03,0.11,0.17,0,0,0,0,0,0.06,0.11,0,0,0,0.09,0.04,0.12,0.03,0.08,0,0.08
20,object_part_of_series_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,object_select,0.04,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.03,0.09,0,0,0,0,0,0,0.03,0.05,0,0,0,0.03,0,0.03,0,0,0,0.03
