,slot,1,2,3,4,5,6,7,8
0,entity_name,7,0,0,27,16,0,0,0
1,playlist,3,0,0,22,25,0,0,0
2,artist,3,0,0,39,8,0,0,0
3,playlist_owner,46,0,0,1,3,0,0,0
4,music_item,46,0,0,0,4,0,0,0
5,party_size_number,0,0,50,0,0,0,0,0
6,state,38,0,0,7,5,0,0,0
7,restaurant_type,37,0,0,3,10,0,0,0
8,timeRange,14,0,1,30,5,0,0,0
9,city,8,0,0,32,10,0,0,0
10,party_size_description,0,0,0,50,0,0,0,0
11,sort,31,0,0,0,19,0,0,0
12,served_dish,1,0,0,28,21,0,0,0
13,spatial_relation,24,0,0,6,20,0,0,0
14,poi,8,0,0,30,12,0,0,0
15,restaurant_name,2,0,0,36,12,0,0,0
16,country,35,0,0,15,0,0,0,0
17,cuisine,24,0,0,17,9,0,0,0
18,facility,34,0,0,0,16,0,0,0
19,geographic_poi,0,0,0,50,0,0,0,0
20,current_location,19,0,0,0,31,0,0,0
21,condition_temperature,50,0,0,0,0,0,0,0
22,condition_description,50,0,0,0,0,0,0,0
23,album,6,0,0,34,10,0,0,0
24,service,9,0,0,7,34,0,0,0
25,track,5,0,0,30,15,0,0,0
26,year,46,0,0,0,4,0,0,0
27,genre,18,0,0,6,26,0,0,0
28,object_select,25,0,0,0,25,0,0,0
29,object_type,30,0,0,0,20,0,0,0
30,rating_value,0,0,48,0,2,0,0,0
31,best_rating,0,0,50,0,0,0,0,0
32,object_part_of_series_type,50,0,0,0,0,0,0,0
33,rating_unit,23,27,0,0,0,0,0,0
34,object_name,2,0,0,34,14,0,0,0
35,movie_name,0,0,0,41,9,0,0,0
36,movie_type,11,0,0,0,39,0,0,0
37,object_location_type,15,0,0,0,35,0,0,0
38,location_name,0,0,0,7,43,0,0,0
